file name,Model constraint,Status,Solve time (second)
j9026_7.data,82,optimal,1.38
j9026_8.data,82,optimal,32.24
j9026_9.data,87,optimal,0.06
j9027_1.data,96,optimal,0.05
j9027_10.data,97,optimal,0.05
j9027_2.data,81,optimal,0.05
j9027_3.data,91,optimal,0.05
j9027_4.data,79,optimal,0.05
j9027_5.data,99,optimal,0.05
j9027_6.data,87,optimal,0.05
j9027_7.data,73,optimal,0.05
j9027_8.data,72,optimal,0.05
j9027_9.data,84,optimal,0.05
j9028_1.data,80,optimal,0.05
j9028_10.data,68,optimal,0.05
j9028_2.data,76,optimal,0.05
j9028_3.data,86,optimal,0.05
j9028_4.data,78,optimal,0.04
j9028_5.data,88,optimal,0.05
j9028_6.data,102,optimal,0.05
j9028_7.data,97,optimal,0.05
j9028_8.data,110,optimal,0.05
j9028_9.data,120,optimal,0.05
j9029_1.data,136,feasible,900.04
j9029_10.data,125,feasible,900.06
j9029_2.data,128,feasible,900.05
j9029_3.data,145,feasible,900.05
